Gender,Ethnicity,Month,City,State,Cause,Armed
Male,Black,June,Millbrook,AL,Gunshot,No
Male,Black,February,Millbrook,AL,Gunshot,No
Male,White,April,Pineville,LA,Gunshot,No
Male,White,March,Kenosha,WI,Gunshot,No
Male,Hispanic/Latino,March,South Gate,CA,Gunshot,Firearm
Male,White,March,Munroe Falls,OH,Gunshot,No
Male,White,March,Phoenix,AZ,Gunshot,No
Male,Hispanic/Latino,March,Bakersfield,CA,Gunshot,Firearm
Male,Hispanic/Latino,March,Wilmington,CA,Gunshot,Non-lethal firearm
Male,White,January,Sunset,TX,Gunshot,Firearm
Male,White,February,Wyoming,MI,Gunshot,Other
Male,White,April,Hanford,CA,Gunshot,Knife
Male,White,May,Rancho Santa Margarita,CA,Gunshot,No
Male,Hispanic/Latino,February,Houston,TX,Gunshot,No
Male,White,February,Terre Haute ,IN,Gunshot,Firearm
Male,White,April,Indianapolis,IN,Gunshot,Non-lethal firearm
Male,Hispanic/Latino,May,Nashville,TN,Gunshot,Firearm
Female,Black,April,Atlanta,GA,Gunshot,Vehicle
Male,Hispanic/Latino,May,Arlington,VA,Gunshot,Firearm
Female,White,March,San Francisco,CA,Gunshot,Firearm
Male,Black,January,San Francisco,CA,Death in custody,No
Male,Hispanic/Latino,February,San Francisco,CA,Gunshot,Vehicle
Male,Black,January,Norfolk,NE,Death in custody,No
Male,Hispanic/Latino,February,Kansas City,KS,Gunshot,Other
Male,White,March,Fontana,CA,Gunshot,Firearm
Male,White,April,Chickasha,OK,Gunshot,Firearm
Male,White,March,Medford,OR,Gunshot,Firearm
Male,White,January,Derry,NH,Gunshot,Firearm
Male,White,April,Sylmar,CA,Gunshot,Firearm
Male,Black,March,Putnam Hall,FL,Gunshot,Firearm
Male,Hispanic/Latino,January,El Paso,TX,Gunshot,Firearm
Male,Hispanic/Latino,April,Corning,CA,Gunshot,Knife
Male,Black,March,Roxbury,MA,Gunshot,Firearm
Male,Black,February,Memphis,TN,Gunshot,Vehicle
Male,Black,May,Huntsville,AL,Gunshot,Knife
Male,Hispanic/Latino,February,Clarkesville,GA,Gunshot,Firearm
