count,mpan,product,tab1.status,status,service_prov_new,sed
1,1000075702,Gas,W5,Awaiting Final Read,GSHBLA,17/05/2017 00:00
1,1000438106,Gas,56,Completed,GSRWTA,19/05/2017 00:00
1,1000738702,Gas,W5,Awaiting Final Read,GSLEPA,17/05/2017 00:00
1,1000743605,Gas,W5,Awaiting Final Read,GSAELA,19/05/2017 00:00
1,1001343908,Gas,56,Completed,GSGUKA,16/05/2017 00:00
1,1001620403,Gas,W5,Awaiting Final Read,GSSGLA,15/05/2017 00:00
1,1001705703,Gas,W5,Awaiting Final Read,GSSOPA,16/05/2017 00:00
1,1002080009,Gas,W5,Awaiting Final Read,GSJERA,21/05/2017 00:00
1,1002207501,Gas,56,Completed,GSHBLA,15/05/2017 00:00
1,1002212505,Gas,56,Completed,GSSOPA,15/05/2017 00:00
1,1002276408,Gas,56,Completed,GSJERA,16/05/2017 00:00
1,1002354402,Gas,W5,Awaiting Final Read,GSHBLA,20/05/2017 00:00
1,1002426008,Gas,W5,Awaiting Final Read,GSOUPA,18/05/2017 00:00
1,1002890303,Gas,W5,Awaiting Final Read,GSSOPA,16/05/2017 00:00
1,1002997310,Gas,W5,Awaiting Final Read,GSSOPA,17/05/2017 00:00
1,1003182404,Gas,56,Completed,GSSGLA,15/05/2017 00:00
1,1003204803,Gas,W5,Awaiting Final Read,GSJERA,17/05/2017 00:00
1,1003225800,Gas,W5,Awaiting Final Read,GSSOPA,17/05/2017 00:00
1,1003325209,Gas,56,Completed,GSPFPA,16/05/2017 00:00
1,1003586103,Gas,W5,Awaiting Final Read,GSJERA,17/05/2017 00:00
1,1003780110,Gas,56,Completed,GSHBLA,15/05/2017 00:00
1,1003937005,Gas,56,Completed,GSHBLA,19/05/2017 00:00
1,1003958406,Gas,W5,Awaiting Final Read,GSJERA,16/05/2017 00:00
1,1004319410,Gas,56,Completed,GSSTLA,20/05/2017 00:00
1,1004639507,Gas,56,Completed,GSJERA,15/05/2017 00:00
1,1004772610,Gas,W5,Awaiting Final Read,GSJERA,16/05/2017 00:00
1,1004951700,Gas,56,Completed,GSHBLA,17/05/2017 00:00
1,1005009209,Gas,W5,Awaiting Final Read,GSJERA,18/05/2017 00:00
1,1005058503,Gas,56,Completed,GSHBLA,21/05/2017 00:00
1,1005101803,Gas,W5,Awaiting Final Read,GSOUPA,21/05/2017 00:00
1,1005132500,Gas,W5,Awaiting Final Read,GSSGLA,15/05/2017 00:00
1,1005700309,Gas,W5,Awaiting Final Read,GSGNEA,16/05/2017 00:00
1,1005751304,Gas,W5,Awaiting Final Read,GSISEA,19/05/2017 00:00
1,1005950905,Gas,W5,Awaiting Final Read,GSGNEA,16/05/2017 00:00
1,1006160802,Gas,W5,Awaiting Final Read,GSJERA,15/05/2017 00:00
1,1006221403,Gas,W5,Awaiting Final Read,GSSOPA,16/05/2017 00:00
